"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"GSM518896",-0.0801030798148665,0.0475096788942145,0.0458075036415148,0.029403903519511,-0.00725309672458773,-0.000641777171929537,0.00831908472750797,-0.00432948761901602,-0.101641453291918,0.0040140574339576,0.0062080360095058,-0.0249384127606464,0.0496763246613889,-0.021132248954313,-0.0263537230812484,-0.0776293693035757,-0.059627248926999,0.0155027708775762
"GSM518898",-0.0404037963931557,0.0612355926473903,0.000856888833136924,0.00598592156427697,0.0218880636953933,0.00143694980365387,0.0252388300871822,-0.0643432296973681,0.0442996742767611,-0.00934105854376136,-0.0255993307289293,-0.0621065865689084,-0.0162214483720553,0.0226814792786552,-0.0394784634812597,-0.0196190422746705,-0.0467111514271974,0.00554789280200036
"GSM518900",-0.037303393385096,0.0531566038342253,-0.0678647036796913,-0.0403126948199018,-0.0181919634188665,-0.0256166444059243,0.00377630225185689,0.00269829668180758,-0.0114849719164387,-0.0734661900536056,0.0097518941097219,-0.052418432406907,-0.0159922809514189,0.0182905308542791,-0.012571338862514,0.058144469445858,-0.00224600157237052,-0.0334034226541603
"GSM518902",0.00203791554688119,0.054920635009903,-0.0065712920983287,-0.0493174357923915,-0.0147484117357234,-0.0415574495651807,0.0300753131007101,-0.0421278311217345,-0.0912203000634407,0.0597110008944124,-0.0392895945749282,-0.00717255243290675,-0.0282254748253665,0.0644236836716945,-0.00796998729508436,0.0398497466095696,-0.0515674014234948,-0.0167697909470929
"GSM518904",-0.0199360768250728,0.0552087536835818,-0.00138631182039644,-0.00871879935465352,-0.0125165906347292,0.0276215468521474,-0.0049435582389605,0.0145607582066218,-0.105638764960309,-0.000994150563507008,-0.0538357333073847,-0.00934987608192416,-0.0215365399282793,0.0469563890993529,-0.036370558965177,-0.00491707171980531,-0.0409096628470242,-0.0200862367211865
"GSM518906",-0.0449788123497928,0.0715155376282356,0.0408691747662022,-0.0143063817092962,0.064426594679331,-0.0139300599982077,-0.0085705966371449,0.0812379811374904,-0.0386977086747086,0.0219938043387704,-0.0303383695425859,-0.0686688151175755,0.00568021530079256,0.0243370471386531,-0.0253702632591809,-0.0257689023880744,-0.0609038236768777,-0.0275723412835845
"GSM518908",-0.0611674490007867,0.0458455584344089,0.00563777628034946,-0.0264666657519073,-0.00160003665220753,-0.0199730700265691,0.00280149500249856,0.0139557636007278,0.000791972679926944,-0.0278247587040588,-0.0365166703018622,-0.0134377225879868,-0.0252114449519207,-0.0113381742745008,0.0148997742785179,-0.0722927817818056,-0.0483685328822954,-0.0257874908887713
"GSM518910",-0.0971745913605347,0.0285620699858377,0.0834415797007155,0.00762784699833688,-0.0428907201283333,0.00280564353402605,0.0122966678925695,-0.000625063372739259,-0.0619913151257903,0.0773999994381972,0.0374110352874116,0.0603789913811903,-0.0121723033866057,-0.0476703551826532,0.00435162443306624,-0.0493907292005337,-0.0608742153461739,-0.0159802092340716
"GSM518912",-0.0547780799674049,0.0589967700332211,-0.0198734003120951,0.0138067458327074,0.0197533707232636,-0.0120775744676257,-0.0210737018432011,-0.0207855838760967,-0.0178836650002507,-0.0181679545956059,-0.0081975697435649,-0.0312388990518695,-0.0306880438853077,-0.000216743527685064,0.0086267560985524,0.0106538598891258,-0.0247384625534219,-0.0370258437751074
"GSM518914",-0.0303181163933277,0.0476196487787209,-0.00200095486233752,-0.0251590868211666,-0.012055616417708,-0.00318670716670157,0.0593910410403266,0.00646160272962346,-0.0438121391847124,-0.0077595468244614,0.00155426739835105,-0.0369179309019407,0.138328259821465,0.0348045094456752,-0.00744440467162768,-0.0113590384931719,-0.0498678254216118,0.0306914745364517
"GSM518916",-0.032950104734333,0.0694370566458788,-0.0643944809044124,0.0337598288130208,0.0294445970108227,0.0139073940423689,0.00869427786095533,-0.0135048139666901,0.0121144114092676,-0.0204958187117861,0.0127831672049488,-0.0472797926766863,-0.0155425204502452,0.029673742688277,-0.0331767487185407,0.0266265132527336,-0.0257519298173244,-0.0683995853463692
"GSM518918",-0.063619752571185,0.0598147164429424,-0.0324533846251757,0.0197940620444486,0.00208393933432385,0.00236902106236829,-0.00624390946823494,-0.021848621770967,-0.0107162018393373,0.0562184194656734,-0.0210853039688151,-0.000863854454079908,-0.0195419194607667,-3.52965183936684e-05,-0.0616708869043142,0.00805233987192306,-0.0354316685619374,-0.0589668623274789
"GSM518920",-0.0604207265332247,0.0213716129208966,0.0897190927940172,-0.0218869771730857,-0.0496720427572708,-0.0234199625535552,0.0293622464382056,-0.0416051279751603,-0.0128333422392514,0.0444245179202679,-0.0443073848891901,0.0430415238477237,0.00658332477134327,-0.0107796080080291,-0.000248495038028026,-0.102708859346368,-0.078511320318506,0.0334401753637819
"GSM518922",-0.0648439777187809,0.0485033933441654,0.00276823845006915,-0.0241061210989479,-0.00533187958127113,-0.0171409819100899,-0.01500446250138,0.0259232734815995,-0.0686753415897301,0.0166918936721945,-0.00404055924782047,0.0108902939451379,-0.0316259027934408,-0.00464771775901273,-0.0235412454651859,-0.0704513365568025,-0.0535773636090291,-0.0322566993392709
"GSM518924",-0.0621279832789849,0.0701335236778104,0.00359639228466504,-0.00977691648292633,0.0934765810164329,-0.0108506732938446,-0.0205011525740748,0.0616499769963927,-0.0808344302826914,0.0253722233284077,0.0905191892649718,-0.0593700517734508,-0.00971300029784519,0.00654272918027255,-0.050792820335093,-0.114689019793059,-0.0567614415372004,-0.0148930233169911
"GSM518926",-0.105129266890005,0.0691643928040356,-0.00869886088454858,-0.00488301018858772,0.0935277982404725,-0.00061494563695699,-0.00952167155228894,0.122112468803595,0.0360524721866622,0.0685815643042805,-0.0569772319911554,-0.0146367211411424,-0.031121907661383,-0.053864718742571,-0.0474283458385417,-0.134192288646395,-0.0557378261452155,-0.0400816483947694
"GSM518928",-0.0395064646530429,0.0718011515952279,-0.0264015765497506,-0.034936925423052,0.0672710485756499,-0.0175103755036849,-0.0137581377729357,-0.0128011434323145,-0.0160812075840212,-0.0032339693039553,-0.0358459996231714,-0.0558089920366511,-0.0377682088265324,0.0318505990763469,-0.0535342946949826,-0.107297265100994,-0.0511013759670076,-0.0396878998857723
"GSM518930",0.0015129646767864,0.0337580386871742,0.00621159049016147,-0.0195615588644927,-0.0326612588744176,0.0252230927147669,-0.0390582049191189,-0.0747146277302219,-0.00367676128625104,-0.031306335307542,0.0550516901379717,-0.0218335511611935,0.0731289704456634,0.0616629382689987,-0.0173243832741449,0.0276083491993313,-0.0356730506748984,-0.0251821079382188
"GSM518932",-0.0352970929000169,0.0474597464615087,-0.00485595778093487,-0.00355766090570227,0.0246345983108104,-0.00713162349088411,-0.0206069492362083,-0.0512033313248258,-0.0635263510435579,0.0154122676955509,-0.0388267974655104,-0.00727551830969522,-0.0140928847083957,0.0255980267335428,-0.00513643075245478,-0.127149813070399,-0.0445727834870232,-0.0388801144790276
"GSM518934",0.00356245036254893,0.0395411457179367,-0.0238239888499242,-0.00685258044773269,0.0773609126088412,-0.0172588374569645,-0.0272921642710788,-0.0436301179463105,0.0340117164048448,-0.0251767239137321,-0.0159391628263803,-0.0609578057449932,-0.0296372153821903,0.0216311099863004,0.0104280730354633,0.00931071783968432,-0.0201563158983636,0.0100094092692802
"GSM518936",0.104284117239146,0.0318737812218208,-0.0100399463914849,0.0113981019402676,0.0384003922530862,0.00230174794918866,-0.0443389164994423,-0.00501850028192025,-0.0461170465201293,-0.0307145313611464,-0.00393035049312155,-0.0650390749415867,-0.0370760637943892,0.121987776664382,0.0127936671844454,0.0997397935844714,-0.0291748621946052,0.00315852892292022
"GSM518938",-0.0367962455053382,0.0104046204888492,0.0922883042789592,-0.0230118157035635,-0.0115171496199325,-0.0133855661321356,-0.00681003788627118,-0.0454054369676472,-0.0472917223738594,0.0785011028097025,0.130781338275679,0.0438054832347318,-0.0165180068578138,-0.0258864320709856,-0.00707830092384115,0.0161069047874652,-0.0668272547511129,0.0510874380884209
"GSM518940",-0.00992806323514854,0.0168505473896215,0.0605837070246038,0.0104345348383466,0.00888375783224789,0.00290079321099722,-0.00513177383149083,-0.0350049598123601,0.00529972107703128,-0.00849500666468874,-0.0457255383048497,-0.0200203966053495,-0.0135457609321141,0.00688570615824422,-0.0388855708874049,0.0223526816767841,-0.0456932354473754,0.0403995947523252
"GSM518942",-0.0294161105438598,0.0302234241367763,0.023293190943435,0.0123473645610557,0.00033875183987239,0.0274960438144092,0.120204874045448,-0.028234908195598,-0.0254787207931029,0.0330389982701374,0.0690043523939798,-0.00624995688349705,0.00300672967403668,0.00334166928702285,-0.00837256397649232,0.0945363497010189,-0.0527666598170331,-0.0452542785402399
"GSM518944",0.0177377725756968,0.0331207797879083,0.03795921085067,0.0262928563238609,0.0667072092254595,0.0227057142696263,-0.0331708903945513,-0.0231450739770265,-0.0421438892483663,0.0190492206577254,-0.0400665724212265,-0.0427432792942612,-0.0118556768085118,0.0343952226408097,-0.0116069387536971,-0.0494730478843834,-0.0538842634016491,-0.0172033816060002
"GSM518946",-0.0210585291233346,0.0266662412549266,0.0478063174315129,-0.0141409104224357,0.00217363791177536,0.0167900637616837,0.12273888380993,-0.0647461445302898,-0.0223181166990699,0.0876746985214613,-0.00508412162940558,0.0269000771392801,-0.00100776361660646,0.00295679191086626,-0.00523828898711859,-0.0136994862949123,-0.055387408897732,-0.0423415540588846
"GSM518948",0.0265917322505887,0.0398155070720241,-0.0104862579685332,-0.0285755301382671,0.00908005495266775,0.000259996287992813,-0.0166632779767584,-0.0187827380245102,-0.0514072780921805,-0.0120156418253234,0.0146771854877808,-0.0449842879202717,0.0274872793427129,0.0587042243928779,0.0146280938150623,0.0559128670893805,-0.0450435258778645,-0.0210184608094305
"GSM518950",-0.0229398279097426,0.0323351048212937,0.0210562754527216,0.00355064651700897,0.042666119894726,0.0159776291331908,-0.0145244610433309,-0.0689640292902451,0.00689576788129978,0.103306074376306,-0.00745846727576839,0.0208082651420294,-0.0332486095311403,-0.00630499154416765,-0.0252295699016734,-0.0347503062510382,-0.0466046556483083,-0.0264959357685499
"GSM518952",-0.0203868118531576,0.0369798835498931,0.0420137992509612,0.00982442214431422,-0.000742512840271871,-0.0250586565862023,-0.00867675787173697,-0.09170725721946,-0.0670610356394433,0.0957804972856046,-0.0588017274366084,0.0541237468164091,-0.0302100641728048,0.0205547743094378,0.018741514123611,-0.00309985611254748,-0.0627948375576666,-0.0117181398256486
"GSM518954",0.0547026416096121,0.0740864822434283,-0.0772878589164868,0.0234155928350621,0.156614027642369,0.007362453373237,-0.0850936374169108,0.034585683094533,0.0890901339784942,0.0220781528704387,-0.069863619983864,-0.089087465785813,-0.0375696870735236,0.0816551142617789,-0.00855639242817994,-0.0464142465164745,-0.0195472125668031,-0.06654035202055
"GSM518956",-0.0260822344229776,0.0496482945440007,-0.0168927946269236,-0.0266100827381589,0.120683401643764,-0.0247362539771409,-0.0360876365910885,0.0369016691521336,0.0761438838819254,0.00889165470283716,-0.0551493491388243,-0.0532645972575142,-0.031245816504481,-0.011756641384388,0.0325952618280244,-0.0771687711675099,-0.0276133067230237,-0.0393416091595971
"GSM518958",-0.052672251383399,0.0568226484513571,-0.0408126889336007,0.00788370238359598,0.0835061282532973,0.00341645085222105,-0.0467369042394593,0.0222101362828147,0.176833504847802,0.00409457825801896,-0.0534743261628518,-0.0455206601404774,0.0384669737583124,-0.0287197278992425,-0.0307811917221601,0.00325893589969431,-0.0190952197664171,-0.042179541249926
"GSM518960",0.0114233429627715,0.063162422385905,-0.0650239525302385,-0.0200919448293788,0.0880549111781786,-0.0238714334713848,-0.0651815186423026,0.0934979320465268,-0.0568472549881199,0.082978795008127,0.142746547257335,-0.0171575430624956,-0.0562407483667477,0.0418921650638215,0.0207946083162779,-0.00147744316643617,-0.0419898904848057,-0.0767266820998816
"GSM518962",0.0483311275645116,0.064760483261972,-0.0758639841724705,-0.00676632621208198,0.0854400181333481,0.026339824564083,-0.0757413919192102,0.0245837598273503,0.00134113695557553,0.0565620095619568,-0.0474494468341629,-0.0243767471441441,0.0387076499307042,0.0720450792442604,-0.0241949291800224,0.0383675908595999,-0.0322566671405563,-0.0751137750097071
"GSM518964",0.183148438706869,0.0548411317605418,-0.0462269899076659,0.000299352718175968,-0.00259534952193955,-0.0100340436824158,-0.0712864705532584,-0.0231653715237836,-0.00674666776038067,0.0466652302923602,0.00614878869354865,-0.0439028909362711,-0.0347665806698752,0.181275865755336,-0.0450734200086776,0.081246768342834,-0.0524067959309658,-0.0498731022033241
"GSM518966",0.0176981153046561,0.0716868373697621,-0.107799798435793,0.0501430561615542,0.165657774845578,-0.00836681033767374,-0.0693914138876321,0.0575709488066548,0.124802668333625,-0.0320099358692012,-0.00658479390108767,-0.113071337730185,-0.0485167922257133,0.0410385237134032,0.0141805319918639,-0.0371252112547298,0.00812444400746271,-0.0758305885610062
"GSM518968",0.0474235614590892,0.077180972158603,-0.0983793745325142,0.0106708677053998,0.147602011570721,0.00553787564996172,-0.0851278442514935,0.0721557006676299,0.0164987769182056,-0.0441945836127676,-0.00530466549053112,-0.127251150895545,-0.021575086662802,0.0740559106283032,-0.0140610989548339,-0.0355516436543669,-0.00963855375052949,-0.0793298812284889
"GSM518970",0.0477586990601712,0.065542385175577,-0.0711357052671557,-0.0397278274532223,0.0832647596351428,-0.0285744091263375,-0.0414696846821422,0.0190863686011109,-0.0151556228739387,0.0546643860052085,-0.012969117681951,-0.0407054589784466,-0.0461636550432244,0.0814066218853967,0.00644810274382874,-0.0184266364611452,-0.0346930652344659,-0.0696526450918144
