nodeName	altName	nodeAttr[nodesPresent, ]
HARBI1	HARBI1	blue
HAS1	HAS1	blue
HAUS5	NA	blue
HAVCR1	HAVCR1	blue
HBE1	HBE1	blue
HBEGF	HBEGF	blue
HCG4B	NA	blue
HECTD4	NA	blue
HELZ2	NA	blue
HEPACAM	HEPACAM	blue
HGC6.3	HGC6.3	blue
HGFAC	HGFAC	blue
HHIPL1	HHIPL1	blue
HHLA3	HHLA3	blue
HIC2	HIC2	blue
HID1	NA	blue
HIST2H2BF	NA	blue
HLTF	HLTF	blue
HMGCLL1	HMGCLL1	blue
HMGCS1	HMGCS1	blue
HMHB1	HMHB1	blue
HMMR.AS1	NA	blue
HMX1	HMX1	blue
HNF1A	HNF1A	blue
HNRNPF	HNRNPF	blue
HOTTIP	NA	blue
HOXB13	HOXB13	blue
HOXB9	HOXB9	blue
HOXC10	HOXC10	blue
HOXC11	HOXC11	blue
HOXC5	HOXC5	blue
HOXD10	HOXD10	blue
HOXD13	HOXD13	blue
HOXD3	HOXD3	blue
HPN	HPN	blue
HR	HR	blue
HRC	HRC	blue
HRH2	HRH2	blue
HRH3	HRH3	blue
HSD17B7P2	HSD17B7P2	blue
HSF4	HSF4	blue
HSPA4	HSPA4	blue
HSPB2	HSPB2	blue
HUNK	HUNK	blue
HUS1	HUS1	blue
IBA57	NA	blue
ICA1	ICA1	blue
ICOSLG	ICOSLG	blue
IDI2	IDI2	blue
IFNB1	IFNB1	blue
IFT80	IFT80	blue
IFT88	IFT88	blue
IGF1	IGF1	blue
IGF2	IGF2	blue
IGFBP1	IGFBP1	blue
IGKV2.24	NA	blue
IGLL5	NA	blue
IL17A	IL17A	blue
IL17F	IL17F	blue
IL19	IL19	blue
IL1RAPL2	IL1RAPL2	blue
IL1RL2	IL1RL2	blue
IL33	IL33	blue
IL37	NA	blue
IL5RA	IL5RA	blue
IL6	IL6	blue
IL9R	IL9R	blue
INA	INA	blue
INF2	INF2	blue
INHA	INHA	blue
INHBC	INHBC	blue
INPP5J	INPP5J	blue
INS	INS	blue
INSRR	INSRR	blue
INVS	INVS	blue
IPO5P1	NA	blue
IRF2BP1	IRF2BP1	blue
IRX1	IRX1	blue
IRX6	IRX6	blue
ITGA11	ITGA11	blue
ITGA2B	ITGA2B	blue
ITGA7	ITGA7	blue
ITIH3	ITIH3	blue
ITIH5	ITIH5	blue
JAK3	JAK3	blue
JAM2	JAM2	blue
JMJD1C.AS1	NA	blue
JOSD2	JOSD2	blue
JRK	JRK	blue
KANK1	KANK1	blue
KCNA10	KCNA10	blue
KCNE5	NA	blue
KCNG3	KCNG3	blue
KCNG4	KCNG4	blue
KCNH1	KCNH1	blue
KCNH7	KCNH7	blue
KCNIP2	KCNIP2	blue
KCNJ1	KCNJ1	blue
KCNJ5	KCNJ5	blue
KCNK16	KCNK16	blue
KCNK17	KCNK17	blue
KCNK3	KCNK3	blue
KCNK5	KCNK5	blue
KCTD7	KCTD7	blue
KDELC1	KDELC1	blue
KHDC1	KHDC1	blue
KHDRBS3	KHDRBS3	blue
KIAA0930	NA	blue
KIAA1217	KIAA1217	blue
KIAA1549	KIAA1549	blue
KIAA1755	KIAA1755	blue
KIF17	KIF17	blue
KIF1A	KIF1A	blue
KIF26B	KIF26B	blue
KIF2C	KIF2C	blue
KIF5A	KIF5A	blue
KIFC3	KIFC3	blue
KISS1	KISS1	blue
KLC2	KLC2	blue
KLF15	KLF15	blue
KLHDC10	KLHDC10	blue
KLHL32	KLHL32	blue
KLHL4	KLHL4	blue
KLHL40	NA	blue
KLK15	KLK15	blue
KLK4	KLK4	blue
KMT2A	NA	blue
KRT15	KRT15	blue
