nodeName	altName	nodeAttr[nodesPresent, ]
LOC101929550	NA	brown
LOC101929680	NA	brown
LOC102723968	NA	brown
LOC105372255	NA	brown
LOC105376944	NA	brown
LOC149373	NA	brown
LOC284600	LOC284600	brown
LOC285097	NA	brown
LOC339260	LOC339260	brown
LOC401127	LOC401127	brown
LOC401320	NA	brown
LOC440173	LOC440173	brown
LOC644090	NA	brown
LOC79999	LOC79999	brown
LOC84214	NA	brown
LPIN3	LPIN3	brown
LPO	LPO	brown
LRAT	LRAT	brown
LRRC37BP1	NA	brown
LRRC42	LRRC42	brown
LSP1	LSP1	brown
LTA	LTA	brown
LTBP3	LTBP3	brown
LY6G6C	LY6G6C	brown
LYG1	LYG1	brown
LYNX1	LYNX1	brown
MAGEA12	MAGEA12	brown
MAGEA6	MAGEA6	brown
MAGEB2	MAGEB2	brown
MAMDC4	MAMDC4	brown
MAOA	MAOA	brown
MAOB	MAOB	brown
MAP2K7	MAP2K7	brown
MAPK11	MAPK11	brown
MAPK8IP2	MAPK8IP2	brown
MAPK8IP3	MAPK8IP3	brown
MAPKAPK2	MAPKAPK2	brown
MARCH3	NA	brown
MC2R	MC2R	brown
MDK	MDK	brown
ME1	ME1	brown
MED24	MED24	brown
MEF2D	MEF2D	brown
MEGF8	MEGF8	brown
MEI1	MEI1	brown
METAP1D	NA	brown
METTL26	NA	brown
METTL7B	METTL7B	brown
MFAP2	MFAP2	brown
MFAP5	MFAP5	brown
MFRP	MFRP	brown
MFSD6L	MFSD6L	brown
MICALL2	MICALL2	brown
MID1	MID1	brown
MIER3	MIER3	brown
MIOX	MIOX	brown
MIR7.3HG	NA	brown
MIR924HG	NA	brown
MLLT1	MLLT1	brown
MLLT11	MLLT11	brown
MLLT6	MLLT6	brown
MLN	MLN	brown
MLXIPL	MLXIPL	brown
MMRN1	MMRN1	brown
MOCOS	MOCOS	brown
MON2	MON2	brown
MORC1	MORC1	brown
MOV10L1	MOV10L1	brown
MRGPRG.AS1	NA	brown
MROH1	NA	brown
MROH5	NA	brown
MROH6	NA	brown
MRPS26	MRPS26	brown
MS4A15	MS4A15	brown
MSLNL	MSLNL	brown
MST1	MST1	brown
MST1R	MST1R	brown
MT1E	MT1E	brown
MTG1	MTG1	brown
MTSS1L	MTSS1L	brown
MUC16	MUC16	brown
MUC6	MUC6	brown
MUC7	MUC7	brown
MUC8	NA	brown
MXRA8	MXRA8	brown
MYADML	MYADML	brown
MYBPC2	MYBPC2	brown
MYH2	MYH2	brown
MYH7	MYH7	brown
MYOG	MYOG	brown
NAA15	NA	brown
NAA30	NA	brown
NAV2	NAV2	brown
NCAM1	NCAM1	brown
NCBP3	NA	brown
NCK2	NCK2	brown
NDUFB2.AS1	NA	brown
NEFM	NEFM	brown
NEK3	NEK3	brown
NELFA	NA	brown
NELL1	NELL1	brown
NES	NES	brown
NGB	NGB	brown
NGF	NGF	brown
